REGION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
INDIA,1916,5.10,22.70,12.30,36.10,59.50,235.20,267.10,310.50,201.60,138.20,45.60,3.10,1337.10,27.90,108.00,1014.40,186.90
INDIA,1917,8.70,38.70,22.80,43.20,75.00,231.80,285.20,296.50,281.00,158.80,28.20,10.30,1480.30,47.30,141.10,1094.50,197.30
INDIA,1918,12.20,4.40,41.60,38.80,102.80,212.60,183.80,242.70,109.70,20.00,41.10,16.40,1026.20,16.50,183.20,748.80,77.60
INDIA,1919,52.50,22.70,20.30,33.50,60.50,195.20,309.30,289.50,163.60,92.50,49.80,19.50,1308.90,75.20,114.30,957.60,161.80
INDIA,1920,25.10,23.90,58.20,38.80,53.90,163.90,297.50,191.70,123.00,44.10,24.50,3.30,1047.90,49.00,150.90,776.00,71.90
INDIA,1921,40.60,8.80,18.60,43.50,49.40,193.90,297.50,278.50,206.60,71.10,14.50,17.20,1240.20,49.40,111.50,976.50,102.80
INDIA,1922,29.70,10.30,14.60,31.50,49.00,202.70,317.80,222.70,202.70,61.00,55.50,14.50,1211.90,39.90,95.10,945.90,130.90
INDIA,1923,24.50,41.50,22.70,32.10,60.70,102.70,339.50,277.00,178.70,60.90,19.40,16.60,1176.30,66.00,115.50,897.90,97.00
INDIA,1924,23.10,25.50,14.30,31.70,64.40,135.50,328.00,263.10,242.50,66.20,57.90,16.10,1268.30,48.60,110.40,969.10,140.20
INDIA,1925,14.20,12.50,15.80,44.00,104.10,209.20,306.80,238.90,141.70,68.80,39.90,14.40,1210.40,26.70,163.90,896.70,123.10
INDIA,1926,29.20,11.50,60.10,42.70,58.60,99.00,320.90,335.50,211.00,57.30,10.60,10.40,1246.80,40.70,161.40,966.40,78.30
INDIA,1927,14.60,37.00,23.10,37.40,51.80,179.40,351.00,259.30,173.10,69.20,55.90,10.80,1262.60,51.60,112.30,962.80,135.90
INDIA,1928,22.90,41.90,22.70,34.60,54.30,179.10,306.60,232.80,144.40,128.80,23.60,26.60,1218.40,64.80,111.70,862.90,179.00
INDIA,1929,31.20,20.60,14.40,55.20,65.70,194.80,298.80,246.90,126.60,92.40,18.50,43.40,1208.50,51.80,135.40,867.00,154.30
INDIA,1930,25.90,23.60,25.70,53.20,56.70,182.20,292.50,214.50,176.70,94.80,54.10,9.70,1209.40,49.40,135.70,865.80,158.50
INDIA,1931,14.50,34.70,19.70,37.40,59.30,134.50,325.90,309.00,193.60,124.50,40.60,21.00,1314.60,49.10,116.40,963.00,186.00
INDIA,1932,10.30,25.20,22.50,31.30,85.30,142.50,335.50,239.10,182.00,69.20,59.90,15.90,1218.90,35.50,139.20,899.20,145.10
INDIA,1933,18.00,31.00,26.60,50.10,103.20,218.20,284.00,316.50,215.50,94.40,20.00,16.00,1393.50,49.00,179.80,1034.30,130.50
INDIA,1934,24.90,11.70,17.20,47.20,48.00,215.20,285.50,300.70,169.00,63.50,32.90,11.70,1227.60,36.60,112.40,970.40,108.10
INDIA,1935,29.80,21.90,20.90,44.20,35.80,159.60,318.40,248.20,187.10,49.10,17.20,11.30,1143.40,51.70,100.90,913.30,77.50
INDIA,1936,13.00,44.60,40.30,34.30,82.90,249.00,296.40,241.80,194.50,66.90,55.00,23.00,1341.70,57.60,157.60,981.70,144.80
INDIA,1937,7.00,53.80,20.30,56.10,57.10,163.00,339.70,210.50,175.00,95.40,19.80,20.40,1218.10,60.90,133.40,888.20,135.60
INDIA,1938,32.30,32.80,33.20,35.30,70.60,275.50,304.50,251.50,170.70,77.30,17.90,5.20,1306.70,65.10,139.10,1002.20,100.40
INDIA,1939,14.00,35.00,32.80,42.30,40.20,172.20,277.00,234.40,155.80,91.80,28.90,1.60,1125.90,49.00,115.30,839.40,122.30
INDIA,1940,14.40,27.00,49.60,28.10,81.20,175.50,313.80,282.20,125.50,60.90,38.80,17.40,1214.60,41.40,159.00,897.00,117.20
INDIA,1941,23.90,16.90,19.20,31.30,80.30,172.60,240.80,230.70,156.10,62.70,26.80,19.70,1080.90,40.80,130.70,800.10,109.20
INDIA,1942,23.10,45.60,20.00,46.60,65.80,190.70,345.10,293.40,184.40,35.50,18.20,24.20,1292.70,68.70,132.40,1013.70,77.90
INDIA,1943,58.50,9.80,30.00,50.10,95.70,168.50,312.50,234.80,212.80,87.50,16.70,5.20,1282.10,68.40,175.80,928.50,109.40
INDIA,1944,29.30,39.80,56.70,33.20,61.10,157.10,354.70,291.60,158.30,92.60,29.00,15.60,1319.10,69.20,151.00,961.70,137.20
INDIA,1945,34.40,9.90,20.10,47.00,53.80,158.50,335.00,247.70,215.50,81.90,16.80,5.10,1225.80,44.30,120.90,956.80,103.80
INDIA,1946,4.40,18.90,24.20,48.00,71.30,213.80,319.30,296.60,145.00,83.40,72.70,34.90,1332.60,23.40,143.50,974.70,191.00
INDIA,1947,22.50,18.50,26.00,39.30,55.00,130.40,315.00,291.10,238.90,69.40,7.60,23.00,1236.60,41.00,120.20,975.40,100.00
INDIA,1948,25.10,29.60,40.10,42.40,90.10,164.20,347.80,281.80,179.40,59.80,71.80,9.80,1341.90,54.70,172.50,973.20,141.40
INDIA,1949,13.00,28.90,24.50,52.70,89.10,163.10,319.00,244.00,225.60,97.70,10.10,4.90,1272.40,41.80,166.30,951.60,112.60
INDIA,1950,35.60,26.00,36.90,28.90,49.30,134.00,331.20,235.30,203.70,56.30,27.40,7.90,1172.50,61.60,115.10,904.20,91.60
INDIA,1951,16.00,12.30,45.20,55.70,59.90,160.90,253.40,222.60,124.40,73.70,31.30,5.90,1061.30,28.30,160.80,761.30,110.90
INDIA,1952,10.50,20.40,38.00,32.80,66.40,165.60,286.50,256.80,120.70,79.60,9.10,21.80,1108.20,30.90,137.10,829.60,110.60
INDIA,1953,30.40,10.70,25.50,38.30,47.30,162.60,321.60,301.90,179.20,84.60,12.50,8.00,1222.90,41.20,111.20,965.30,105.20
INDIA,1954,38.20,37.70,17.40,23.10,53.00,143.20,295.60,232.10,248.70,73.90,3.60,13.70,1180.30,75.90,93.60,919.60,91.20
INDIA,1955,22.20,4.50,24.80,31.90,74.20,178.30,236.30,320.60,218.70,151.30,26.10,9.60,1298.30,26.70,130.90,953.80,186.90
INDIA,1956,19.80,11.30,32.20,31.20,84.40,211.70,363.00,260.10,165.00,152.30,42.60,12.70,1386.20,31.10,147.80,999.80,207.50
INDIA,1957,39.60,17.60,29.80,40.90,72.10,155.00,306.50,277.70,132.30,65.10,27.60,14.10,1178.20,57.10,142.80,871.50,106.70
INDIA,1958,13.40,18.80,19.20,36.60,79.90,123.90,320.00,325.30,229.80,119.50,29.90,14.70,1331.00,32.20,135.70,999.00,164.00
INDIA,1959,32.10,24.30,21.80,25.90,75.40,168.70,377.10,266.60,239.30,120.00,25.80,5.20,1382.10,56.30,123.10,1051.70,151.00
INDIA,1960,13.90,2.70,35.50,20.00,56.60,159.10,318.60,253.20,180.40,69.00,31.60,8.30,1149.00,16.60,112.10,911.30,109.00
INDIA,1961,25.90,35.20,26.60,28.90,77.10,192.10,339.10,288.40,236.20,122.80,20.50,10.20,1403.00,61.10,132.60,1055.80,153.40
INDIA,1962,12.60,21.50,15.60,43.50,70.60,136.30,282.90,277.00,212.00,77.70,18.00,28.70,1196.40,34.10,129.70,908.20,124.40
INDIA,1963,6.80,9.00,38.60,50.10,59.60,165.50,257.80,317.20,165.40,98.10,27.50,14.60,1210.20,15.80,148.30,905.90,140.20
INDIA,1964,15.70,14.30,18.90,40.10,51.60,176.40,344.30,274.60,198.90,65.90,21.90,12.50,1235.10,29.90,110.60,994.30,100.30
INDIA,1965,10.90,26.00,26.40,43.60,51.20,115.80,269.20,192.30,131.10,33.50,17.40,21.10,938.40,36.90,121.20,708.40,72.00
INDIA,1966,12.80,24.10,20.30,32.00,57.00,177.40,251.90,216.10,148.80,56.70,49.30,17.60,1064.00,37.00,109.30,794.20,123.50
INDIA,1967,11.20,13.40,63.30,29.10,42.40,144.90,304.60,262.90,170.40,40.30,11.40,54.40,1148.30,24.60,134.80,882.80,106.00
INDIA,1968,27.90,19.50,27.50,32.40,46.70,148.00,309.60,212.00,129.30,67.70,21.60,12.00,1054.20,47.40,106.60,798.90,101.30
INDIA,1969,12.30,13.80,19.50,39.70,63.20,129.80,318.70,272.40,174.90,54.10,37.20,12.10,1147.70,26.10,122.40,895.80,103.40
INDIA,1970,22.50,26.90,24.90,29.20,68.30,212.80,245.20,313.60,212.10,73.90,15.80,1.70,1247.00,49.30,122.40,983.80,91.40
INDIA,1971,16.00,22.50,10.30,52.30,74.90,228.50,268.70,269.00,147.70,100.60,15.50,12.00,1218.00,38.50,137.50,913.90,128.10
INDIA,1972,9.70,27.10,21.00,36.90,55.60,123.00,205.50,221.80,129.10,66.00,30.30,22.30,948.50,36.80,113.60,679.50,118.60
INDIA,1973,19.30,20.90,19.70,27.00,56.00,147.50,279.30,312.50,182.50,114.30,17.70,17.40,1214.00,40.20,102.70,921.70,149.40
INDIA,1974,15.30,12.50,19.80,32.20,63.30,122.80,280.30,232.00,142.10,102.40,10.20,10.90,1043.70,27.70,115.30,777.10,123.50
INDIA,1975,14.90,18.70,27.20,27.50,49.70,177.60,308.40,290.60,228.70,120.90,22.80,3.20,1290.20,33.60,104.40,1005.40,146.80
INDIA,1976,11.30,23.50,23.90,35.60,44.20,155.00,297.20,295.50,144.70,32.00,54.40,7.40,1124.80,34.70,103.70,892.50,93.90
INDIA,1977,20.20,10.00,13.70,67.00,83.80,187.30,326.90,247.50,147.50,83.40,67.10,16.00,1270.40,30.20,164.50,909.20,166.50
INDIA,1978,12.20,27.00,44.20,32.90,58.50,210.40,292.10,284.50,161.10,48.80,48.90,18.50,1239.30,39.20,135.60,948.20,116.20
INDIA,1979,20.80,34.70,29.30,20.90,51.70,141.30,239.30,211.30,135.70,50.10,74.20,14.20,1023.40,55.50,101.90,727.60,138.50
INDIA,1980,12.90,22.10,32.30,34.10,54.70,229.40,298.30,267.10,145.60,50.30,23.10,19.70,1189.50,34.90,121.10,940.40,93.10
INDIA,1981,28.40,20.40,47.60,36.30,67.00,153.00,308.60,239.20,186.60,43.10,27.20,14.10,1171.60,48.80,150.90,887.50,84.40
INDIA,1982,24.80,24.40,46.60,50.70,59.60,136.90,232.30,275.90,125.30,51.90,44.60,13.70,1086.80,49.20,156.90,770.40,110.20
INDIA,1983,18.80,23.60,43.40,57.70,71.10,152.20,282.50,307.60,255.30,86.50,10.00,22.80,1331.50,42.40,172.20,997.60,119.40
INDIA,1984,19.20,35.70,21.80,43.70,59.50,192.00,286.50,262.90,145.40,60.30,13.80,15.00,1155.90,54.90,125.10,886.80,89.10
INDIA,1985,23.10,9.60,19.80,37.90,60.10,156.20,289.30,233.50,151.70,114.70,18.50,25.50,1140.00,32.80,117.80,830.70,158.80
INDIA,1986,14.80,36.70,28.80,48.10,48.70,182.70,261.40,233.50,125.50,70.60,47.70,28.00,1126.60,51.50,125.70,803.20,146.30
INDIA,1987,14.40,21.80,27.40,41.30,66.30,133.20,221.80,243.20,151.30,93.00,43.60,21.60,1078.90,36.10,134.90,749.70,158.20
INDIA,1988,9.10,28.20,49.30,41.50,68.80,159.00,383.40,303.30,220.40,55.10,15.60,17.20,1351.00,37.30,159.70,1066.10,87.90
INDIA,1989,14.60,14.20,26.90,33.10,55.90,186.30,302.30,238.20,164.10,50.70,19.30,16.80,1122.40,28.80,115.90,890.90,86.80
INDIA,1990,14.90,44.30,53.30,42.00,114.50,194.00,286.70,293.20,196.60,103.20,29.50,28.40,1400.60,59.20,209.70,970.60,161.10
INDIA,1991,13.80,26.30,27.80,49.20,67.50,184.20,281.40,263.20,139.80,60.40,28.80,17.50,1159.90,40.10,144.60,868.60,106.60
INDIA,1992,20.10,18.70,25.40,23.50,56.20,139.20,270.20,288.00,170.30,64.30,40.30,5.10,1121.30,38.80,105.10,867.70,109.70
INDIA,1993,17.20,24.30,39.30,26.10,69.50,170.80,307.50,205.40,211.20,86.80,28.20,15.50,1201.90,41.60,134.90,894.90,130.50
INDIA,1994,24.20,26.80,23.90,45.00,52.10,206.00,353.40,287.90,150.70,79.90,25.60,20.10,1295.60,50.90,121.00,998.00,125.60
INDIA,1995,32.30,29.20,28.10,31.40,80.70,140.60,325.70,268.80,181.10,80.20,36.70,9.00,1243.60,61.50,140.10,916.20,125.80
INDIA,1996,22.80,23.10,31.40,31.10,55.60,183.40,266.40,295.40,146.40,95.90,13.30,17.00,1181.80,45.80,118.10,891.60,126.30
INDIA,1997,13.90,10.00,30.20,45.10,47.00,171.60,281.50,260.00,150.10,59.00,55.50,47.50,1171.40,23.90,122.30,863.20,162.00
INDIA,1998,17.80,35.90,44.10,41.60,51.50,164.30,282.10,250.00,201.10,106.10,38.70,10.50,1243.50,53.70,137.20,897.40,155.30
INDIA,1999,18.40,12.00,10.80,19.10,94.30,171.30,262.70,217.80,186.10,116.00,19.70,3.80,1132.00,30.40,124.20,837.90,139.50
INDIA,2000,19.00,27.00,18.60,35.00,73.50,184.50,267.60,225.20,135.30,40.60,14.70,9.60,1050.40,46.00,127.10,812.50,64.90
INDIA,2001,7.20,10.30,21.30,45.50,61.30,215.10,281.10,210.00,109.20,97.70,18.50,6.00,1083.30,17.50,128.10,815.40,122.20
INDIA,2002,16.80,21.00,22.90,38.90,57.70,170.10,138.90,246.20,133.90,54.40,14.70,5.20,920.80,37.80,119.50,689.20,74.30
INDIA,2003,7.20,42.10,33.70,35.50,38.60,164.50,305.60,247.80,179.90,92.70,10.20,16.60,1174.50,49.30,107.80,897.80,119.50
INDIA,2004,26.20,10.70,11.90,50.60,74.50,167.80,241.70,252.50,123.60,88.80,16.90,6.10,1071.30,36.90,137.00,785.70,111.70
INDIA,2005,40.30,46.00,42.60,38.50,50.30,146.90,340.30,192.00,200.70,96.20,27.20,11.50,1232.50,86.30,131.40,879.90,134.90
INDIA,2006,17.40,11.50,34.40,30.40,80.70,151.40,298.50,302.60,175.40,52.30,32.10,12.70,1199.40,28.90,145.50,927.80,97.10
INDIA,2007,2.70,35.70,34.40,33.60,50.40,201.40,295.80,259.20,215.10,55.30,15.20,16.70,1215.60,38.40,118.40,971.60,87.20
INDIA,2008,22.40,19.20,37.70,32.60,45.20,208.80,250.00,264.30,165.70,50.50,25.10,10.80,1132.10,41.60,115.50,888.70,86.30
INDIA,2009,11.80,13.20,15.20,26.00,56.60,86.50,283.70,191.90,140.30,70.10,53.20,10.80,959.30,25.00,97.80,702.40,134.10
INDIA,2010,7.50,16.30,16.60,42.10,69.00,140.90,293.60,272.30,195.60,67.70,56.70,22.10,1200.50,23.80,127.80,902.40,146.50
INDIA,2011,7.70,26.30,21.40,41.00,51.60,182.80,243.00,284.60,190.50,36.50,18.40,6.50,1110.10,34.00,113.90,900.90,61.40
INDIA,2012,28.50,10.80,10.60,48.50,32.10,125.00,258.10,263.90,197.70,59.80,28.90,9.60,1073.50,39.30,91.20,844.70,98.30
INDIA,2013,10.00,36.90,14.50,29.40,56.50,217.90,305.40,248.40,148.40,128.90,13.70,6.20,1216.20,46.90,100.40,920.10,148.70
INDIA,2014,17.30,25.90,32.60,20.20,72.80,95.50,258.80,237.90,187.90,60.90,13.50,10.40,1033.70,43.20,125.50,780.10,84.80
INDIA,2015,17.40,21.00,62.00,69.40,53.80,192.80,242.40,205.20,131.80,42.90,39.40,15.00,1093.20,38.40,185.20,772.20,97.30
