id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
34,5.0,Yes,1.0,0.0,,3.0,2.0,Introvert
35,6.0,Yes,2.0,3.0,Yes,1.0,3.0,Introvert
36,3.0,No,6.0,3.0,No,7.0,,Extrovert
37,2.0,No,7.0,4.0,No,5.0,3.0,Extrovert
38,2.0,No,8.0,3.0,No,13.0,6.0,Extrovert
39,0.0,No,5.0,4.0,No,11.0,4.0,Extrovert
40,0.0,No,8.0,3.0,No,10.0,4.0,Extrovert
41,,No,6.0,5.0,No,14.0,3.0,Extrovert
42,2.0,No,6.0,6.0,No,5.0,6.0,Extrovert
43,0.0,No,9.0,4.0,,11.0,5.0,Extrovert
44,9.0,Yes,1.0,0.0,Yes,3.0,0.0,Introvert
45,2.0,No,6.0,,No,11.0,4.0,Extrovert
46,2.0,No,7.0,3.0,No,12.0,6.0,Extrovert
47,0.0,No,4.0,7.0,No,14.0,3.0,Extrovert
48,10.0,Yes,1.0,,Yes,5.0,1.0,Introvert
49,2.0,No,9.0,7.0,No,6.0,4.0,Extrovert
50,7.0,Yes,,2.0,Yes,5.0,2.0,Introvert
51,0.0,No,3.0,6.0,No,5.0,8.0,Extrovert
52,0.0,No,7.0,6.0,No,7.0,3.0,Extrovert
53,6.0,Yes,3.0,3.0,Yes,5.0,0.0,Introvert
54,4.0,Yes,3.0,1.0,Yes,,1.0,Introvert
55,9.0,Yes,0.0,,Yes,2.0,1.0,Introvert
56,3.0,No,9.0,7.0,No,12.0,3.0,Extrovert
57,4.0,No,6.0,3.0,No,8.0,7.0,Extrovert
58,8.0,Yes,0.0,2.0,Yes,5.0,,Introvert
59,2.0,,8.0,6.0,No,14.0,9.0,Extrovert
60,9.0,Yes,4.0,0.0,Yes,2.0,0.0,Introvert
61,0.0,No,9.0,3.0,No,4.0,5.0,Extrovert
62,,No,6.0,6.0,No,13.0,4.0,Extrovert
63,8.0,Yes,4.0,2.0,Yes,,0.0,Extrovert
64,9.0,,2.0,2.0,Yes,1.0,0.0,Introvert
65,4.0,,0.0,2.0,Yes,0.0,2.0,Introvert
66,5.0,No,8.0,4.0,No,8.0,10.0,Extrovert
67,3.0,No,,7.0,No,6.0,9.0,Extrovert
68,7.0,Yes,0.0,2.0,,3.0,0.0,Introvert
69,4.0,Yes,1.0,,Yes,0.0,2.0,Introvert
70,3.0,No,4.0,3.0,No,6.0,10.0,Extrovert
71,0.0,No,7.0,4.0,,15.0,9.0,Extrovert
72,2.0,No,8.0,6.0,No,10.0,8.0,Extrovert
73,1.0,No,7.0,5.0,No,12.0,4.0,Extrovert
74,2.0,No,6.0,6.0,No,5.0,3.0,Extrovert
75,2.0,No,7.0,5.0,No,10.0,8.0,Extrovert
76,10.0,Yes,0.0,2.0,Yes,1.0,1.0,Introvert
77,5.0,Yes,2.0,3.0,,1.0,3.0,Introvert
78,0.0,No,5.0,4.0,No,6.0,7.0,Extrovert
79,1.0,No,4.0,4.0,No,12.0,8.0,Extrovert
80,2.0,No,9.0,4.0,No,6.0,,Extrovert
81,4.0,No,8.0,5.0,No,8.0,6.0,Extrovert
82,0.0,No,6.0,7.0,No,14.0,3.0,Extrovert
83,9.0,Yes,,3.0,Yes,4.0,0.0,Introvert
84,3.0,No,7.0,6.0,No,4.0,6.0,Extrovert
85,0.0,No,6.0,4.0,No,6.0,6.0,Extrovert
86,1.0,No,8.0,3.0,No,10.0,6.0,Extrovert
87,11.0,,0.0,2.0,Yes,1.0,2.0,Introvert
88,3.0,No,6.0,4.0,No,,,Extrovert
89,2.0,,5.0,5.0,No,5.0,3.0,Extrovert
90,0.0,No,5.0,6.0,No,,9.0,Extrovert
91,3.0,No,3.0,7.0,No,4.0,9.0,Extrovert
92,10.0,,1.0,2.0,Yes,1.0,0.0,Introvert
93,1.0,No,9.0,7.0,No,,6.0,Extrovert
94,2.0,No,5.0,6.0,No,7.0,8.0,Extrovert
95,0.0,No,8.0,6.0,No,6.0,5.0,Extrovert
96,9.0,,1.0,3.0,Yes,4.0,3.0,Introvert
97,4.0,Yes,3.0,0.0,Yes,0.0,1.0,Introvert
98,0.0,No,6.0,5.0,No,11.0,7.0,Extrovert
99,2.0,No,6.0,3.0,No,,7.0,Extrovert
100,1.0,No,6.0,5.0,No,7.0,3.0,Extrovert
101,2.0,No,10.0,6.0,No,10.0,7.0,Extrovert
102,6.0,Yes,2.0,0.0,Yes,2.0,0.0,Extrovert
103,0.0,No,6.0,6.0,No,11.0,6.0,Extrovert
104,,No,6.0,6.0,No,8.0,8.0,Extrovert
105,8.0,Yes,0.0,2.0,,1.0,0.0,Introvert
106,2.0,No,10.0,4.0,No,10.0,3.0,Extrovert
107,,No,4.0,4.0,No,5.0,6.0,Extrovert
108,9.0,No,6.0,6.0,No,15.0,4.0,Extrovert
109,2.0,No,6.0,5.0,No,6.0,6.0,Extrovert
110,0.0,No,9.0,4.0,No,14.0,6.0,Extrovert
111,3.0,No,4.0,3.0,No,14.0,7.0,Extrovert
112,3.0,No,5.0,3.0,No,7.0,9.0,Extrovert
113,0.0,No,10.0,4.0,No,9.0,8.0,Extrovert
114,5.0,Yes,0.0,3.0,Yes,5.0,2.0,Introvert
115,2.0,No,4.0,4.0,No,12.0,4.0,Extrovert
116,1.0,No,4.0,5.0,No,8.0,6.0,Extrovert
117,0.0,No,6.0,5.0,No,13.0,8.0,Extrovert
118,3.0,No,4.0,6.0,No,12.0,7.0,Extrovert
119,10.0,Yes,,2.0,Yes,4.0,0.0,Introvert
120,1.0,No,9.0,3.0,No,9.0,,Extrovert
121,9.0,Yes,3.0,,Yes,0.0,1.0,Introvert
122,6.0,Yes,1.0,0.0,Yes,0.0,1.0,Introvert
123,7.0,Yes,3.0,1.0,Yes,5.0,,Introvert
124,4.0,No,7.0,6.0,No,11.0,3.0,Introvert
125,1.0,No,6.0,3.0,No,9.0,9.0,Extrovert
126,3.0,No,4.0,7.0,No,7.0,3.0,Extrovert
127,1.0,No,9.0,4.0,No,6.0,7.0,Extrovert
128,1.0,No,4.0,6.0,No,8.0,8.0,Extrovert
129,,No,4.0,4.0,No,15.0,3.0,Extrovert
130,10.0,Yes,0.0,,Yes,0.0,0.0,Introvert
131,2.0,No,9.0,4.0,No,15.0,8.0,Extrovert
132,,No,8.0,5.0,No,15.0,7.0,Extrovert
133,0.0,,5.0,7.0,No,7.0,9.0,Extrovert
134,3.0,No,4.0,6.0,No,13.0,6.0,Extrovert
135,3.0,No,9.0,6.0,No,11.0,9.0,Extrovert
136,1.0,No,9.0,3.0,No,12.0,9.0,Extrovert
137,0.0,No,3.0,3.0,No,4.0,8.0,Extrovert
138,3.0,No,8.0,7.0,No,,3.0,Extrovert
139,11.0,,2.0,2.0,Yes,2.0,2.0,Extrovert
140,4.0,No,7.0,6.0,No,11.0,6.0,Extrovert
141,2.0,No,8.0,6.0,No,11.0,6.0,Extrovert
142,1.0,No,7.0,4.0,No,12.0,4.0,Extrovert
143,1.0,No,3.0,6.0,No,12.0,9.0,Extrovert
144,3.0,No,4.0,4.0,No,9.0,9.0,Extrovert
145,1.0,No,4.0,5.0,No,8.0,,Extrovert
146,1.0,No,7.0,4.0,No,14.0,,Extrovert
147,7.0,Yes,3.0,1.0,Yes,3.0,,Introvert
148,1.0,,9.0,3.0,No,11.0,7.0,Extrovert
149,0.0,No,4.0,6.0,No,,3.0,Introvert
150,6.0,Yes,,1.0,Yes,3.0,1.0,Introvert
151,7.0,,0.0,2.0,Yes,0.0,2.0,Introvert
152,,Yes,1.0,2.0,Yes,3.0,3.0,Introvert
153,0.0,,6.0,3.0,No,10.0,3.0,Extrovert
154,2.0,No,4.0,7.0,No,5.0,6.0,Extrovert
155,10.0,Yes,0.0,1.0,Yes,,2.0,Introvert
156,10.0,Yes,0.0,0.0,Yes,4.0,2.0,Introvert
157,3.0,No,5.0,5.0,,7.0,6.0,Extrovert
158,11.0,Yes,0.0,2.0,,4.0,,Introvert
159,10.0,,3.0,0.0,Yes,2.0,0.0,Introvert
160,0.0,No,9.0,5.0,No,15.0,,Extrovert
161,,No,6.0,5.0,No,10.0,3.0,Extrovert
162,0.0,No,7.0,7.0,No,15.0,3.0,Extrovert
163,4.0,Yes,2.0,0.0,Yes,0.0,0.0,Introvert
164,2.0,No,9.0,3.0,No,14.0,3.0,Extrovert
165,6.0,Yes,,0.0,Yes,,1.0,Introvert
166,1.0,No,7.0,3.0,,8.0,8.0,Extrovert
167,3.0,No,6.0,4.0,No,13.0,4.0,Extrovert
168,7.0,Yes,3.0,,,4.0,2.0,Introvert
169,7.0,Yes,1.0,1.0,Yes,0.0,1.0,Introvert
170,1.0,No,,3.0,No,12.0,6.0,Extrovert
171,2.0,No,7.0,4.0,No,11.0,,Extrovert
172,2.0,No,8.0,6.0,No,11.0,3.0,Extrovert
173,2.0,No,9.0,6.0,No,12.0,7.0,Extrovert
174,3.0,No,10.0,3.0,No,4.0,8.0,Extrovert
175,2.0,No,6.0,5.0,No,12.0,7.0,Extrovert
176,,No,7.0,3.0,No,8.0,5.0,Extrovert
177,4.0,No,8.0,,No,11.0,7.0,Extrovert
178,3.0,No,3.0,6.0,,4.0,8.0,Extrovert
179,10.0,Yes,0.0,2.0,,4.0,0.0,Introvert
180,8.0,Yes,3.0,,Yes,5.0,1.0,Introvert
181,1.0,No,9.0,3.0,No,8.0,4.0,Extrovert
182,11.0,Yes,4.0,1.0,Yes,1.0,0.0,Introvert
183,,No,6.0,7.0,No,14.0,4.0,Extrovert
184,1.0,No,7.0,4.0,No,5.0,8.0,Extrovert
185,3.0,No,4.0,4.0,No,10.0,5.0,Extrovert
186,1.0,No,7.0,4.0,No,6.0,,Extrovert
187,10.0,Yes,2.0,3.0,Yes,3.0,1.0,Introvert
188,0.0,No,6.0,4.0,No,15.0,8.0,Extrovert
189,6.0,Yes,3.0,,Yes,4.0,1.0,Introvert
190,6.0,,3.0,2.0,Yes,5.0,0.0,Introvert
191,0.0,No,9.0,,No,12.0,4.0,Extrovert
192,2.0,No,5.0,5.0,No,13.0,3.0,Extrovert
193,1.0,No,4.0,,No,15.0,7.0,Extrovert
194,2.0,No,9.0,6.0,No,7.0,9.0,Extrovert
195,0.0,No,7.0,,No,12.0,4.0,Extrovert
196,3.0,No,4.0,5.0,No,5.0,5.0,Extrovert
197,1.0,No,4.0,6.0,No,12.0,5.0,Extrovert
198,2.0,No,9.0,3.0,No,10.0,9.0,Extrovert
199,3.0,No,8.0,4.0,No,,3.0,Extrovert
200,1.0,No,4.0,,No,6.0,,Extrovert
201,0.0,No,7.0,4.0,,,6.0,Extrovert
202,2.0,No,5.0,5.0,No,13.0,9.0,Extrovert
203,1.0,No,3.0,7.0,No,10.0,8.0,Extrovert
204,0.0,No,6.0,5.0,,14.0,3.0,Extrovert
205,7.0,Yes,3.0,1.0,Yes,,3.0,Introvert
206,1.0,No,8.0,3.0,No,10.0,9.0,Extrovert
207,1.0,No,9.0,6.0,No,,10.0,Extrovert
208,0.0,No,4.0,,No,10.0,4.0,Extrovert
209,0.0,,8.0,3.0,No,15.0,9.0,Extrovert
210,6.0,Yes,0.0,2.0,Yes,0.0,1.0,Introvert
211,10.0,Yes,3.0,1.0,Yes,,1.0,Introvert
212,1.0,No,8.0,3.0,No,7.0,,Extrovert
213,8.0,,2.0,1.0,Yes,4.0,1.0,Introvert
214,4.0,Yes,2.0,0.0,,0.0,0.0,Introvert
215,1.0,No,6.0,,No,8.0,9.0,Extrovert
216,5.0,Yes,1.0,2.0,,2.0,1.0,Introvert
217,,No,8.0,,No,15.0,4.0,Extrovert
218,3.0,,9.0,6.0,No,9.0,6.0,Extrovert
219,,No,9.0,7.0,No,6.0,8.0,Extrovert
220,9.0,,1.0,0.0,Yes,0.0,0.0,Introvert
221,1.0,No,8.0,5.0,No,,8.0,Extrovert
222,0.0,No,10.0,4.0,No,11.0,4.0,Extrovert
223,3.0,No,5.0,4.0,No,8.0,6.0,Extrovert
224,3.0,No,8.0,6.0,No,13.0,5.0,Extrovert
225,2.0,No,5.0,4.0,No,7.0,6.0,Extrovert
226,4.0,No,7.0,4.0,No,6.0,7.0,Extrovert
227,3.0,No,9.0,7.0,No,9.0,4.0,Extrovert
228,1.0,No,8.0,4.0,No,10.0,3.0,Extrovert
229,0.0,No,7.0,,No,,9.0,Extrovert
230,3.0,,5.0,4.0,No,11.0,9.0,Extrovert
231,0.0,No,5.0,3.0,No,,3.0,Extrovert
232,11.0,Yes,1.0,0.0,Yes,4.0,2.0,Introvert
233,2.0,No,8.0,4.0,No,5.0,9.0,Extrovert
234,11.0,Yes,2.0,1.0,Yes,,,Introvert
235,2.0,No,4.0,3.0,No,5.0,10.0,Extrovert
236,9.0,Yes,1.0,0.0,,3.0,0.0,Introvert
237,0.0,No,4.0,6.0,No,9.0,6.0,Extrovert
238,11.0,Yes,2.0,2.0,Yes,1.0,,Introvert
239,11.0,Yes,3.0,1.0,Yes,4.0,3.0,Introvert
240,0.0,,5.0,5.0,No,13.0,3.0,Extrovert
241,2.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
242,3.0,No,,5.0,No,12.0,10.0,Extrovert
243,3.0,No,6.0,7.0,No,10.0,6.0,Extrovert
244,4.0,No,4.0,5.0,No,9.0,4.0,Extrovert
245,10.0,No,3.0,5.0,No,5.0,4.0,Introvert
246,3.0,No,5.0,4.0,No,15.0,6.0,Extrovert
247,,No,9.0,6.0,No,11.0,5.0,Extrovert
248,7.0,No,4.0,4.0,No,7.0,7.0,Extrovert
249,10.0,Yes,1.0,2.0,,2.0,2.0,Introvert
250,1.0,No,9.0,4.0,No,12.0,6.0,Extrovert
251,1.0,No,7.0,6.0,No,5.0,3.0,Extrovert
252,10.0,,0.0,1.0,Yes,2.0,0.0,Introvert
253,1.0,No,10.0,3.0,No,14.0,8.0,Extrovert
254,,No,8.0,4.0,No,11.0,7.0,Extrovert
255,1.0,No,8.0,3.0,No,5.0,7.0,Extrovert
256,0.0,No,9.0,4.0,No,13.0,6.0,Extrovert
257,,No,5.0,6.0,No,12.0,4.0,Extrovert
258,2.0,No,6.0,6.0,No,13.0,5.0,Extrovert
259,10.0,Yes,2.0,1.0,Yes,1.0,3.0,Introvert
260,,Yes,0.0,0.0,Yes,,1.0,Introvert
261,3.0,No,6.0,4.0,No,9.0,8.0,Extrovert
262,7.0,Yes,,,Yes,4.0,2.0,Introvert
263,6.0,Yes,,0.0,Yes,,2.0,Introvert
264,2.0,No,9.0,6.0,No,4.0,3.0,Extrovert
265,10.0,Yes,0.0,2.0,Yes,0.0,3.0,Introvert
266,2.0,No,8.0,3.0,No,14.0,7.0,Extrovert
267,8.0,Yes,3.0,3.0,Yes,3.0,2.0,Introvert
268,9.0,Yes,,2.0,Yes,2.0,2.0,Introvert
269,1.0,No,9.0,4.0,No,11.0,,Extrovert
270,0.0,No,7.0,7.0,No,10.0,7.0,Extrovert
271,4.0,,0.0,0.0,Yes,5.0,3.0,Introvert
272,4.0,No,5.0,3.0,No,12.0,3.0,Introvert
273,1.0,No,5.0,3.0,No,4.0,7.0,Extrovert
274,3.0,No,5.0,6.0,No,7.0,9.0,Extrovert
275,3.0,No,6.0,7.0,No,6.0,7.0,Extrovert
276,6.0,Yes,0.0,0.0,,1.0,0.0,Introvert
277,4.0,Yes,0.0,0.0,Yes,,0.0,Introvert
278,3.0,No,8.0,3.0,No,14.0,6.0,Extrovert
279,8.0,Yes,4.0,1.0,Yes,3.0,0.0,Introvert
280,3.0,No,9.0,7.0,No,14.0,3.0,Extrovert
281,2.0,No,6.0,5.0,No,9.0,3.0,Extrovert
282,,No,6.0,5.0,No,8.0,5.0,Extrovert
283,8.0,,3.0,0.0,Yes,5.0,1.0,Introvert
284,7.0,Yes,3.0,,Yes,4.0,,Introvert
285,,No,9.0,5.0,No,12.0,6.0,Introvert
286,1.0,No,7.0,5.0,No,8.0,6.0,Extrovert
287,3.0,No,6.0,7.0,No,11.0,3.0,Extrovert
288,10.0,Yes,3.0,2.0,,5.0,2.0,Introvert
289,5.0,Yes,,2.0,Yes,1.0,3.0,Introvert
290,1.0,No,5.0,6.0,No,6.0,4.0,Extrovert
291,0.0,No,5.0,4.0,No,6.0,4.0,Extrovert
292,0.0,No,6.0,6.0,No,12.0,3.0,Extrovert
293,10.0,Yes,3.0,0.0,,5.0,0.0,Introvert
294,10.0,,3.0,1.0,Yes,2.0,1.0,Introvert
295,10.0,Yes,1.0,3.0,Yes,4.0,3.0,Introvert
296,3.0,No,5.0,7.0,No,14.0,3.0,Extrovert
297,1.0,No,3.0,6.0,No,10.0,5.0,Extrovert
298,4.0,No,8.0,3.0,No,12.0,5.0,Extrovert
299,2.0,No,9.0,6.0,No,13.0,10.0,Extrovert
300,2.0,No,4.0,6.0,No,9.0,7.0,Extrovert
301,3.0,No,7.0,7.0,No,14.0,10.0,Extrovert
302,,No,6.0,4.0,No,11.0,,Extrovert
303,2.0,No,8.0,5.0,No,15.0,9.0,Extrovert
304,5.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
305,1.0,No,4.0,4.0,No,12.0,5.0,Extrovert
306,0.0,No,,3.0,No,12.0,4.0,Extrovert
307,9.0,Yes,,,Yes,5.0,2.0,Introvert
308,1.0,No,5.0,3.0,No,10.0,6.0,Extrovert
309,11.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
310,1.0,No,5.0,5.0,No,13.0,8.0,Extrovert
311,0.0,No,4.0,3.0,No,9.0,3.0,Extrovert
312,9.0,Yes,1.0,1.0,,5.0,1.0,Introvert
313,6.0,Yes,0.0,0.0,Yes,0.0,,Introvert
314,3.0,No,10.0,7.0,No,13.0,7.0,Extrovert
315,2.0,No,6.0,3.0,No,10.0,4.0,Extrovert
316,2.0,,6.0,4.0,No,13.0,7.0,Extrovert
317,6.0,Yes,0.0,3.0,Yes,3.0,2.0,Introvert
318,0.0,No,5.0,7.0,No,13.0,7.0,Extrovert
319,7.0,Yes,1.0,,Yes,4.0,0.0,Introvert
320,,Yes,2.0,1.0,Yes,3.0,0.0,Introvert
321,,,2.0,2.0,Yes,2.0,2.0,Introvert
322,10.0,,3.0,0.0,Yes,4.0,3.0,Introvert
323,7.0,Yes,1.0,,Yes,4.0,2.0,Introvert
324,0.0,No,6.0,7.0,No,4.0,8.0,Extrovert
325,2.0,No,9.0,6.0,No,14.0,9.0,Extrovert
326,3.0,No,3.0,3.0,No,6.0,5.0,Extrovert
327,0.0,No,4.0,6.0,No,12.0,8.0,Extrovert
328,2.0,No,,4.0,No,4.0,5.0,Extrovert
329,2.0,No,5.0,3.0,No,10.0,,Extrovert
330,11.0,Yes,2.0,,Yes,4.0,2.0,Introvert
331,2.0,No,7.0,3.0,No,8.0,8.0,Extrovert
332,2.0,No,4.0,3.0,No,8.0,9.0,Extrovert
333,0.0,No,6.0,3.0,No,11.0,7.0,Extrovert
334,3.0,No,5.0,5.0,No,7.0,7.0,Extrovert
335,3.0,No,9.0,5.0,No,,3.0,Extrovert
336,2.0,No,5.0,6.0,No,9.0,8.0,Extrovert
337,0.0,No,9.0,7.0,No,9.0,7.0,Extrovert
338,,No,9.0,6.0,No,13.0,8.0,Introvert
339,1.0,No,5.0,6.0,No,4.0,5.0,Extrovert
340,0.0,No,8.0,4.0,No,9.0,5.0,Extrovert
341,2.0,No,9.0,3.0,No,5.0,7.0,Extrovert
342,1.0,No,9.0,4.0,No,5.0,3.0,Extrovert
343,2.0,No,5.0,3.0,No,11.0,,Extrovert
344,1.0,No,5.0,4.0,No,11.0,,Extrovert
345,0.0,No,5.0,7.0,No,14.0,7.0,Extrovert
346,10.0,Yes,,,Yes,5.0,1.0,Introvert
347,3.0,,9.0,6.0,No,14.0,8.0,Extrovert
348,1.0,No,6.0,6.0,No,14.0,9.0,Extrovert
349,1.0,No,,3.0,No,6.0,4.0,Extrovert
350,2.0,No,5.0,5.0,,14.0,3.0,Extrovert
351,0.0,No,8.0,5.0,No,14.0,10.0,Extrovert
352,4.0,No,10.0,4.0,No,7.0,7.0,Extrovert
353,3.0,No,6.0,7.0,No,9.0,4.0,Extrovert
354,,No,10.0,4.0,No,12.0,5.0,Extrovert
355,2.0,No,5.0,3.0,No,,3.0,Extrovert
356,2.0,No,7.0,3.0,No,15.0,7.0,Extrovert
357,4.0,No,5.0,5.0,No,13.0,8.0,Extrovert
358,2.0,,8.0,4.0,No,15.0,6.0,Extrovert
359,3.0,No,8.0,6.0,No,,6.0,Extrovert
360,4.0,Yes,3.0,2.0,Yes,2.0,3.0,Introvert
361,2.0,No,6.0,5.0,No,3.0,9.0,Extrovert
362,2.0,No,4.0,3.0,No,4.0,3.0,Extrovert
363,4.0,Yes,3.0,1.0,Yes,,0.0,Introvert
364,0.0,No,7.0,7.0,No,4.0,3.0,Extrovert
365,2.0,No,8.0,5.0,No,13.0,3.0,Extrovert
366,1.0,No,4.0,,No,5.0,9.0,Extrovert
367,,No,5.0,5.0,No,10.0,5.0,Extrovert
368,4.0,Yes,3.0,2.0,,1.0,0.0,Introvert
369,,,5.0,6.0,No,11.0,6.0,Extrovert
370,5.0,Yes,2.0,2.0,,,2.0,Introvert
371,1.0,No,3.0,5.0,No,6.0,6.0,Extrovert
372,4.0,Yes,3.0,3.0,Yes,4.0,3.0,Introvert
373,8.0,Yes,1.0,,Yes,5.0,1.0,Introvert
374,2.0,No,,5.0,No,3.0,9.0,Extrovert
375,11.0,Yes,0.0,2.0,Yes,,0.0,Introvert
376,2.0,No,3.0,4.0,No,6.0,7.0,Extrovert
377,,No,4.0,4.0,No,5.0,9.0,Extrovert
378,0.0,No,5.0,4.0,No,10.0,5.0,Extrovert
379,2.0,No,9.0,4.0,No,10.0,9.0,Extrovert
380,7.0,Yes,0.0,1.0,,3.0,,Introvert
381,,No,6.0,3.0,No,7.0,8.0,Extrovert
382,0.0,No,9.0,7.0,No,7.0,5.0,Extrovert
383,2.0,No,8.0,7.0,No,10.0,6.0,Extrovert
384,9.0,Yes,0.0,0.0,Yes,10.0,2.0,Introvert
385,2.0,No,,6.0,No,11.0,6.0,Extrovert
386,10.0,Yes,3.0,1.0,Yes,5.0,,Introvert
387,1.0,No,4.0,4.0,No,10.0,9.0,Extrovert
388,8.0,Yes,,2.0,Yes,2.0,2.0,Introvert
389,0.0,No,5.0,7.0,No,10.0,,Extrovert
390,0.0,No,5.0,5.0,No,7.0,7.0,Extrovert
391,3.0,,7.0,6.0,No,14.0,7.0,Extrovert
392,,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
393,3.0,No,5.0,5.0,No,8.0,9.0,Extrovert
394,0.0,No,7.0,3.0,No,15.0,4.0,Extrovert
395,0.0,No,6.0,5.0,No,7.0,3.0,Extrovert
396,6.0,Yes,,2.0,Yes,4.0,1.0,Introvert
397,3.0,No,3.0,5.0,No,5.0,,Extrovert
398,4.0,Yes,2.0,2.0,Yes,7.0,2.0,Extrovert
399,1.0,No,5.0,5.0,No,12.0,,Extrovert
400,2.0,No,,3.0,No,5.0,3.0,Extrovert
401,1.0,No,7.0,5.0,No,9.0,10.0,Extrovert
402,7.0,Yes,3.0,1.0,Yes,1.0,3.0,Introvert
403,6.0,,1.0,,Yes,3.0,2.0,Extrovert
404,3.0,No,6.0,4.0,No,14.0,4.0,Extrovert
405,,No,8.0,7.0,No,9.0,7.0,Extrovert
406,,No,5.0,5.0,No,10.0,9.0,Extrovert
407,7.0,Yes,3.0,2.0,,5.0,1.0,Introvert
408,0.0,No,8.0,5.0,No,10.0,7.0,Extrovert
409,0.0,No,9.0,6.0,No,5.0,7.0,Extrovert
410,0.0,No,7.0,5.0,No,10.0,7.0,Extrovert
411,3.0,No,5.0,6.0,No,10.0,5.0,Extrovert
412,2.0,No,9.0,7.0,No,6.0,5.0,Extrovert
413,0.0,,8.0,3.0,No,7.0,4.0,Extrovert
414,1.0,No,4.0,5.0,No,5.0,6.0,Extrovert
415,1.0,No,4.0,7.0,No,9.0,4.0,Extrovert
416,3.0,No,5.0,,No,11.0,6.0,Extrovert
417,4.0,No,7.0,3.0,No,6.0,8.0,Extrovert
418,9.0,Yes,2.0,2.0,,2.0,1.0,Introvert
419,0.0,No,7.0,3.0,No,11.0,5.0,Extrovert
420,1.0,No,,4.0,No,7.0,10.0,Extrovert
421,3.0,No,6.0,7.0,No,8.0,9.0,Extrovert
422,8.0,Yes,,2.0,,2.0,2.0,Introvert
423,3.0,No,5.0,4.0,No,,8.0,Extrovert
424,0.0,No,4.0,7.0,No,9.0,4.0,Extrovert
425,1.0,No,6.0,5.0,,5.0,5.0,Extrovert
426,7.0,Yes,3.0,1.0,Yes,4.0,1.0,Introvert
427,1.0,No,7.0,,No,10.0,8.0,Extrovert
428,2.0,No,9.0,,No,11.0,5.0,Extrovert
429,2.0,No,4.0,4.0,No,12.0,7.0,Extrovert
430,1.0,No,7.0,5.0,No,5.0,7.0,Extrovert
431,1.0,No,9.0,5.0,No,12.0,6.0,Extrovert
432,4.0,,1.0,0.0,Yes,3.0,,Introvert
433,2.0,No,4.0,5.0,No,9.0,,Extrovert
434,7.0,Yes,0.0,2.0,Yes,0.0,3.0,Introvert
435,3.0,No,6.0,,No,13.0,4.0,Extrovert
436,0.0,No,6.0,3.0,No,15.0,6.0,Extrovert
437,0.0,No,4.0,4.0,No,7.0,6.0,Extrovert
438,,Yes,1.0,1.0,Yes,2.0,0.0,Introvert
439,3.0,No,,5.0,No,4.0,4.0,Extrovert
440,2.0,No,7.0,5.0,No,,8.0,Extrovert
